dataset,model,defence,attack,protocol,epsilon,mean_robust_pr_auc,std_robust_pr_auc,mean_robust_roc_auc,std_robust_roc_auc,mean_flipped_count,std_flipped_count,mean_feasible_flipped_count,std_feasible_flipped_count,mean_fsr,std_fsr,mean_aggregate_feasibility,std_aggregate_feasibility,mean_robust_accuracy,std_robust_accuracy,n_seeds
CCFD,Ensemble,none,Square,A_unconstrained,0.1,0.7277514242258517,0.23687076434704646,0.9651703391154868,0.05926376029742846,0.6666666666666666,1.1547005383792517,0.6666666666666666,1.1547005383792517,1.0,,1.0,0.0,0.997601076590018,0.0005067142962871381,3
CCFD,Ensemble,none,Square,B_posthoc_filter,0.1,0.7277514242258517,0.23687076434704646,0.9651703391154868,0.05926376029742846,0.6666666666666666,1.1547005383792517,0.6666666666666666,1.1547005383792517,1.0,,1.0,0.0,0.997601076590018,0.0005067142962871381,3
CCFD,MLP,adversarial_training,CAPGD,A_unconstrained,0.1,0.5794728255001087,0.22526143159998813,0.8808961035578475,0.12444153962036215,0.0,0.0,0.0,0.0,,,1.0,0.0,0.9976010765900182,0.0006645495694575453,3
CCFD,MLP,adversarial_training,CAPGD,B_posthoc_filter,0.1,0.5794728255001087,0.22526143159998813,0.8808961035578475,0.12444153962036215,0.0,0.0,0.0,0.0,,,1.0,0.0,0.9976010765900182,0.0006645495694575453,3
CCFD,MLP,input_validation,CAPGD,A_unconstrained,0.1,0.5718218415902389,0.3004028637990495,0.9016903682867113,0.16571232436677155,0.6666666666666666,1.1547005383792517,0.6666666666666666,1.1547005383792517,1.0,,1.0,0.0,0.9960212977590546,0.0005362560054948038,3
CCFD,MLP,input_validation,CAPGD,B_posthoc_filter,0.1,0.5718218415902389,0.3004028637990495,0.9016903682867113,0.16571232436677155,0.6666666666666666,1.1547005383792517,0.6666666666666666,1.1547005383792517,1.0,,1.0,0.0,0.9960212977590546,0.0005362560054948038,3
CCFD,MLP,none,CAPGD,A_unconstrained,0.01,0.6723664014703198,0.19731325093911228,0.9382846278064281,0.08116307487819888,0.0,0.0,0.0,0.0,,,1.0,0.0,0.9985957521502544,0.0003510619624363942,3
CCFD,MLP,none,CAPGD,A_unconstrained,0.05,0.641171999753225,0.22418855204275612,0.9107087044850758,0.10679463819426464,0.0,0.0,0.0,0.0,,,1.0,0.0,0.9978351178983091,0.00036539687545464924,3
CCFD,MLP,none,CAPGD,A_unconstrained,0.1,0.597837647515289,0.26226971821872536,0.8777022451424702,0.1408837605286133,0.0,0.0,0.0,0.0,,,1.0,0.0,0.9961968287402727,0.00010134285925738915,3
CCFD,MLP,none,CAPGD,A_unconstrained,0.15,0.5536188093486578,0.301162053612731,0.8557196436943273,0.16309035771288685,0.0,0.0,0.0,0.0,,,1.0,0.0,0.9929202504242,0.0016590541078647446,3
CCFD,MLP,none,CAPGD,A_unconstrained,0.2,0.5171579378834276,0.33288714288311644,0.8327407928322134,0.18052703812888057,0.3333333333333333,0.5773502691896258,0.3333333333333333,0.5773502691896258,1.0,,1.0,0.0,0.9831490258030543,0.0066909315613642405,3
CCFD,MLP,none,CAPGD,B_posthoc_filter,0.01,0.6723664014703198,0.19731325093911228,0.9382846278064281,0.08116307487819888,0.0,0.0,0.0,0.0,,,1.0,0.0,0.9985957521502544,0.0003510619624363942,3
CCFD,MLP,none,CAPGD,B_posthoc_filter,0.05,0.641171999753225,0.22418855204275612,0.9107087044850758,0.10679463819426464,0.0,0.0,0.0,0.0,,,1.0,0.0,0.9978351178983091,0.00036539687545464924,3
