dataset,constraint,clean_pass_mean,adv_pass_mean,adv_pass_std,drop
lcld,g1_installment,0.9980362913248819,0.010862540392741734,0.003567141372891703,0.9871737509321402
lcld,g2_open_total,1.0,0.9849987571464082,0.0012671012752605408,0.015001242853591834
lcld,g3_bankruptcy,1.0,0.777305493412876,0.07494287406978306,0.22269450658712397
lcld,g4_term_ohe,1.0,0.22498135719612225,0.01822593836005123,0.7750186428038778
ccfd,c_amount_nonneg,1.0,1.0,0.0,0.0
ccfd,c_time_nonneg,1.0,1.0,0.0,0.0
ieee_cis,i_amt_positive,1.0,1.0,0.0,0.0
ieee_cis,i_c_nonneg,1.0,1.0,0.0,0.0
ieee_cis,i_card4_ohe,1.0,0.05167499223887336,0.018910148228602406,0.9483250077611266
ieee_cis,i_card6_ohe,0.9999717777213332,0.21968221714221206,0.024317747334686803,0.7802895605791211
ieee_cis,i_d_nonneg,0.9999717777213332,0.5185279259447407,0.32762706641413114,0.48144385177659244
ieee_cis,i_product_ohe,1.0,0.020545818869415516,0.010613303001094577,0.9794541811305845
sparkov,s_amt_positive,1.0,1.0,0.0,0.0
sparkov,s_category_ohe,1.0,0.029673216727848558,0.00888608065029056,0.9703267832721515
sparkov,s_city_pop_pos,1.0,1.0,0.0,0.0
sparkov,s_gender_ohe,1.0,0.2755074497948607,0.051605622655044564,0.7244925502051394
sparkov,s_merch_bbox,0.9930180666522709,0.9912185992946089,0.0012413064435179255,0.0017994673576620102
sparkov,s_state_ohe,1.0,7.197869430648528e-05,6.36207785563366e-05,0.9999280213056935
